ID	title	language	publisher	region	release_date	serial	version
ULES-01078	Space Invaders Extreme	English / French / German / Italian / Japanese / Spanish	N/A	PAL	N/A	ULES-01078	N/A
ULES-01079	Disney/Pixar WALL-E	Arabic / English	THQ	PAL	2008-06-26	ULES-01079	1.00
ULES-01080	Disney/Pixar WALL-E	Italian	THQ	PAL	2008-06-24	ULES-01080	1.00
ULES-01081	Disney/Pixar WALL-E	Russian	THQ	PAL	2008-05-21	ULES-01081	1.00
ULES-01082	Disney/Pixar WALL-E: Der Letzte räumt die Erde auf	German	THQ	PAL	2008-05-22	ULES-01082	1.00
ULES-01085	Wild Arms XF	English	505 Games	PAL	2008-04-04	ULES-01085	1.00
ULES-01086	LEGO Indiana Jones: The Original Adventures	Danish / English / French / German / Italian / Spanish	Lucas Arts	PAL	2008-04-26	ULES-01086	1.01
ULES-01088	Naruto: Ultimate Ninja Heroes 2: The Phantom Fortress	English / French / German / Italian / Spanish	Bandai Namco Entertainment	PAL	2008-05-22	ULES-01088	1.00
ULES-01090	International Athletics	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01090	N/A
ULES-01091	Super Hind	English / Finnish / French / German / Italian / Spanish	Virgin Play	PAL	2008-06-16	ULES-01091	1.01
ULES-01093	Madden NFL 09	English	Electronic Arts	PAL	2008-06-01	ULES-01093	1.00
ULES-01094	Pipe Mania	English / French / German / Italian / Spanish	Empire Interactive	PAL	2008-05-02	ULES-01094	1.00
ULES-01095	Code Lyoko: Quest for Infinity	English / French / Italian / Spanish	K.E. Mathiasen A/S	PAL	2008-05-19	ULES-01095	1.00
ULES-01096	PDC World Championship Darts 2008	English / French / German / Italian / Spanish / Dutch	N/A	PAL	N/A	ULES-01096	N/A
ULES-01098	Mytran Wars	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-01098	N/A
ULES-01100	Pro Cycling Season 2008: Le Tour de France	Dutch / English / French / German / Italian / Spanish	Focus Home Interactive	PAL	2008-06-03	ULES-01100	1.01
ULES-01103	Warning: Code de la Route	French	Atari	PAL	2008-05-16	ULES-01103	1.00
ULES-01104	Mawaskes Puzzle	Dutch / English / French / German / Italian / Spanish	DHM Interactive	PAL	2008-06-16	ULES-01104	1.01
ULES-01105	SNK Arcade Classics Vol. 1	English	UTV Ignition Games	PAL	2008-06-19	ULES-01105	1.00
ULES-01120	Tiger Woods PGA Tour 09	English / French / German / Italian / Spanish	Electronic Arts	PAL	2008-07-17	ULES-01120	1.00
ULES-01121	R-Type Tactics	English / French / German / Italian / Spanish	Rising Star Games	PAL	2008-08-07	ULES-01121	1.01
ULES-01131	Tube Mania	French	Empire Interactive	PAL	2008-06-25	ULES-01131	1.00
ULES-01135	FIFA 09	English	Electronic Arts	PAL	2008-08-03	ULES-01135	1.00
