ID	title	edition	language	redump_status	region	system	version
830-0143-50	Gauntlet Legends	Original	English / French / German	Dumped from original media	Europe	DC	1.004
830-0151-50	The Grinch	Original	English / French / German / Italian / Spanish	Dumped from original media	Europe	DC	1.003
830-0172-50	WWF Royal Rumble	Original	English	2 and more dumps from original media [!]	Europe	DC	1.000
830-0174-50	F355 Challenge: Passione Rossa	Original	English / French / German / Italian / Spanish	2 and more dumps from original media [!]	Europe	DC	1.001
830-0215-50	Star Wars: Demolition	Original	English	Dumped from original media	Europe	DC	1.000
830-0223-50	SnoCross Championship Racing	Original	English / French / German	Dumped from original media	Europe	DC	1.000
832-0001-50	Dreamon Volume 2	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0002-05	Dreamkey	Bundled with DC	English	2 and more dumps from original media [!]	Europe	DC	1.008
832-0006-71	Dreamon Volume 3	N/A	English / French / German / Spanish	Dumped from original media	Europe	DC	1.002
832-0011-50	Dreamon Volume 4	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0012-50	Dreamon Volume 5	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0015-50	Dreamon Volume 6	N/A	English / French / German / Spanish	Dumped from original media	Europe	DC	1.000
832-0017-50	Dreamon Volume 7	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.001
832-0019-50	Dreamon Volume 8	N/A	English / French / German / Spanish	Dumped from original media	Europe	DC	1.000
832-0021-50	Dreamon Collection 2	Bundled with DC	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.001
832-0022-05	Dreamkey Version 1.5	Bundled with DC	English	2 and more dumps from original media [!]	Europe	DC	1.003
832-0022-06	Dreamkey Version 1.5	Bundled with DC	N/A	Dumped from original media	Spain	DC	1.000
832-0022-09	Dreamkey Version 1.5	N/A	French	Dumped from original media	France	DC	1.001
832-0023-50	Dreamon Volume 9	N/A	English / French / German / Spanish	2 and more dumps from original media [!]	Europe	DC	1.000
832-0025-50	Dreamon Volume 7 & 8	N/A	N/A	Dumped from original media	France	DC	1.000
